FastEstimator-Start: step: 1; num_device: 1; logging_interval: 100;
FastEstimator-Train: step: 1; total_loss: 1.9324409;
FastEstimator-Train: step: 100; total_loss: 1.4969925; steps/sec: 4.07;
FastEstimator-Train: step: 200; total_loss: 1.457233; steps/sec: 4.01;
FastEstimator-Train: step: 300; total_loss: 1.3407648; steps/sec: 4.0;
FastEstimator-Train: step: 400; total_loss: 1.4403515; steps/sec: 4.0;
FastEstimator-Train: step: 500; total_loss: 1.1978017; steps/sec: 4.01;
FastEstimator-Train: step: 600; total_loss: 1.1903794; steps/sec: 4.0;
FastEstimator-Train: step: 700; total_loss: 1.1229539; steps/sec: 4.0;
FastEstimator-Train: step: 800; total_loss: 1.2124032; steps/sec: 4.0;
FastEstimator-Train: step: 900; total_loss: 1.3943112; steps/sec: 4.0;
FastEstimator-Train: step: 1000; total_loss: 1.073367; steps/sec: 4.0;
FastEstimator-Train: step: 1100; total_loss: 0.9658134; steps/sec: 4.0;
FastEstimator-Train: step: 1200; total_loss: 1.1024897; steps/sec: 4.0;
FastEstimator-Train: step: 1300; total_loss: 1.1171143; steps/sec: 4.0;
FastEstimator-Train: step: 1400; total_loss: 1.1524326; steps/sec: 4.01;
FastEstimator-Train: step: 1500; total_loss: 1.0188627; steps/sec: 4.0;
FastEstimator-Train: step: 1500; epoch: 1; epoch_time: 396.76 sec;
FastEstimator-Eval: step: 1500; epoch: 1; total_loss: 1.0479268; mAP: 0.009187650978464617; AP50: 0.020729294798771874; AP75: 0.006541882613818842;
FastEstimator-Train: step: 1600; total_loss: 0.89204484; steps/sec: 3.87;
FastEstimator-Train: step: 1700; total_loss: 0.9129913; steps/sec: 4.0;
FastEstimator-Train: step: 1800; total_loss: 0.8681772; steps/sec: 4.0;
FastEstimator-Train: step: 1900; total_loss: 0.861945; steps/sec: 4.0;
FastEstimator-Train: step: 2000; total_loss: 0.96313345; steps/sec: 3.99;
FastEstimator-Train: step: 2100; total_loss: 0.81774426; steps/sec: 4.0;
FastEstimator-Train: step: 2200; total_loss: 0.89186007; steps/sec: 4.01;
FastEstimator-Train: step: 2300; total_loss: 0.86854017; steps/sec: 4.01;
FastEstimator-Train: step: 2400; total_loss: 0.84379756; steps/sec: 4.0;
FastEstimator-Train: step: 2500; total_loss: 1.0815269; steps/sec: 3.99;
FastEstimator-Train: step: 2600; total_loss: 0.801979; steps/sec: 3.99;
FastEstimator-Train: step: 2700; total_loss: 0.788075; steps/sec: 4.0;
FastEstimator-Train: step: 2800; total_loss: 0.89858305; steps/sec: 4.0;
FastEstimator-Train: step: 2900; total_loss: 0.6830971; steps/sec: 4.0;
FastEstimator-Train: step: 3000; total_loss: 0.9049351; steps/sec: 4.01;
FastEstimator-Train: step: 3000; epoch: 2; epoch_time: 375.98 sec;
FastEstimator-Eval: step: 3000; epoch: 2; total_loss: 0.8595368; mAP: 0.04064663108561301; AP50: 0.08144058409819112; AP75: 0.03741089432597962;
FastEstimator-Train: step: 3100; total_loss: 0.83096516; steps/sec: 3.86;
FastEstimator-Train: step: 3200; total_loss: 0.8227559; steps/sec: 3.99;
FastEstimator-Train: step: 3300; total_loss: 0.8683032; steps/sec: 4.01;
FastEstimator-Train: step: 3400; total_loss: 0.8731787; steps/sec: 3.99;
FastEstimator-Train: step: 3500; total_loss: 0.8424725; steps/sec: 3.99;
FastEstimator-Train: step: 3600; total_loss: 0.79813343; steps/sec: 4.0;
FastEstimator-Train: step: 3700; total_loss: 0.76951957; steps/sec: 4.0;
FastEstimator-Train: step: 3800; total_loss: 0.86471385; steps/sec: 4.0;
FastEstimator-Train: step: 3900; total_loss: 0.7686793; steps/sec: 4.0;
FastEstimator-Train: step: 4000; total_loss: 0.7314328; steps/sec: 4.01;
FastEstimator-Train: step: 4100; total_loss: 0.834177; steps/sec: 4.0;
FastEstimator-Train: step: 4200; total_loss: 0.71201324; steps/sec: 3.99;
FastEstimator-Train: step: 4300; total_loss: 0.7064265; steps/sec: 4.0;
FastEstimator-Train: step: 4400; total_loss: 0.8240626; steps/sec: 4.0;
FastEstimator-Train: step: 4500; total_loss: 0.7480252; steps/sec: 3.99;
FastEstimator-Train: step: 4500; epoch: 3; epoch_time: 376.1 sec;
FastEstimator-Eval: step: 4500; epoch: 3; total_loss: 0.7530863; mAP: 0.06832659866257934; AP50: 0.13372235617406159; AP75: 0.06329565280673394;
FastEstimator-Train: step: 4600; total_loss: 0.80463064; steps/sec: 3.85;
FastEstimator-Train: step: 4700; total_loss: 0.68976283; steps/sec: 3.99;
FastEstimator-Train: step: 4800; total_loss: 0.6790253; steps/sec: 4.0;
FastEstimator-Train: step: 4900; total_loss: 0.8265487; steps/sec: 3.99;
FastEstimator-Train: step: 5000; total_loss: 0.6682457; steps/sec: 4.0;
FastEstimator-Train: step: 5100; total_loss: 0.76416063; steps/sec: 4.0;
FastEstimator-Train: step: 5200; total_loss: 0.7033782; steps/sec: 4.0;
FastEstimator-Train: step: 5300; total_loss: 0.76633096; steps/sec: 4.0;
