FastEstimator-Start: step: 1; num_device: 1; logging_interval: 100;
FastEstimator-Train: step: 1; total_loss: 1.9660358;
FastEstimator-Train: step: 100; total_loss: 1.5560197; steps/sec: 4.01;
FastEstimator-Train: step: 200; total_loss: 1.5143325; steps/sec: 3.95;
FastEstimator-Train: step: 300; total_loss: 1.3537894; steps/sec: 3.95;
FastEstimator-Train: step: 400; total_loss: 1.3132312; steps/sec: 3.93;
FastEstimator-Train: step: 500; total_loss: 1.1908333; steps/sec: 3.95;
FastEstimator-Train: step: 600; total_loss: 1.2244534; steps/sec: 3.93;
FastEstimator-Train: step: 700; total_loss: 1.1049292; steps/sec: 3.94;
FastEstimator-Train: step: 800; total_loss: 1.0432647; steps/sec: 3.93;
FastEstimator-Train: step: 900; total_loss: 1.1493629; steps/sec: 3.93;
FastEstimator-Train: step: 1000; total_loss: 1.024296; steps/sec: 3.91;
FastEstimator-Train: step: 1100; total_loss: 1.2170703; steps/sec: 3.95;
FastEstimator-Train: step: 1200; total_loss: 1.0235641; steps/sec: 3.93;
FastEstimator-Train: step: 1300; total_loss: 1.1321125; steps/sec: 3.93;
FastEstimator-Train: step: 1400; total_loss: 1.008699; steps/sec: 3.93;
FastEstimator-Train: step: 1500; total_loss: 0.98637635; steps/sec: 3.94;
FastEstimator-Train: step: 1500; epoch: 1; epoch_time: 402.86 sec;
FastEstimator-Eval: step: 1500; epoch: 1; total_loss: 0.9613743; mAP: 0.020374660156536186; AP50: 0.045555588603932634; AP75: 0.014872116788879702;
FastEstimator-Train: step: 1600; total_loss: 0.93189836; steps/sec: 3.85;
FastEstimator-Train: step: 1700; total_loss: 0.8865844; steps/sec: 3.93;
FastEstimator-Train: step: 1800; total_loss: 0.88201374; steps/sec: 3.93;
FastEstimator-Train: step: 1900; total_loss: 0.88461006; steps/sec: 3.94;
FastEstimator-Train: step: 2000; total_loss: 0.8135844; steps/sec: 3.95;
FastEstimator-Train: step: 2100; total_loss: 0.82792103; steps/sec: 3.95;
FastEstimator-Train: step: 2200; total_loss: 0.95640004; steps/sec: 3.93;
FastEstimator-Train: step: 2300; total_loss: 0.86965334; steps/sec: 3.93;
FastEstimator-Train: step: 2400; total_loss: 0.8323686; steps/sec: 3.93;
FastEstimator-Train: step: 2500; total_loss: 0.79184306; steps/sec: 3.95;
FastEstimator-Train: step: 2600; total_loss: 0.78413475; steps/sec: 3.94;
FastEstimator-Train: step: 2700; total_loss: 0.73957384; steps/sec: 3.93;
FastEstimator-Train: step: 2800; total_loss: 0.99834454; steps/sec: 3.91;
FastEstimator-Train: step: 2900; total_loss: 0.94831204; steps/sec: 3.94;
FastEstimator-Train: step: 3000; total_loss: 0.8064178; steps/sec: 3.93;
FastEstimator-Train: step: 3000; epoch: 2; epoch_time: 381.86 sec;
FastEstimator-Eval: step: 3000; epoch: 2; total_loss: 0.8095085; mAP: 0.048942440145619104; AP50: 0.09980717297292249; AP75: 0.042227439641691546;
FastEstimator-Train: step: 3100; total_loss: 0.7041016; steps/sec: 3.84;
FastEstimator-Train: step: 3200; total_loss: 0.73751295; steps/sec: 3.95;
FastEstimator-Train: step: 3300; total_loss: 0.8038951; steps/sec: 3.93;
FastEstimator-Train: step: 3400; total_loss: 0.66171294; steps/sec: 3.94;
FastEstimator-Train: step: 3500; total_loss: 0.84336686; steps/sec: 3.92;
FastEstimator-Train: step: 3600; total_loss: 0.74863833; steps/sec: 3.9;
FastEstimator-Train: step: 3700; total_loss: 0.74297017; steps/sec: 3.91;
FastEstimator-Train: step: 3800; total_loss: 0.64966154; steps/sec: 3.93;
FastEstimator-Train: step: 3900; total_loss: 0.87600493; steps/sec: 3.94;
FastEstimator-Train: step: 4000; total_loss: 0.83868796; steps/sec: 3.92;
FastEstimator-Train: step: 4100; total_loss: 0.7423388; steps/sec: 3.94;
FastEstimator-Train: step: 4200; total_loss: 0.6920396; steps/sec: 3.95;
FastEstimator-Train: step: 4300; total_loss: 0.7007092; steps/sec: 3.93;
FastEstimator-Train: step: 4400; total_loss: 0.67841524; steps/sec: 3.92;
FastEstimator-Train: step: 4500; total_loss: 0.741816; steps/sec: 3.9;
FastEstimator-Train: step: 4500; epoch: 3; epoch_time: 382.48 sec;
FastEstimator-Eval: step: 4500; epoch: 3; total_loss: 0.75766665; mAP: 0.06970233092284206; AP50: 0.13710925030561338; AP75: 0.06458126373314738;
FastEstimator-Train: step: 4600; total_loss: 0.85359323; steps/sec: 3.82;
FastEstimator-Train: step: 4700; total_loss: 0.73131055; steps/sec: 3.93;
FastEstimator-Train: step: 4800; total_loss: 0.74544775; steps/sec: 3.92;
FastEstimator-Train: step: 4900; total_loss: 0.6699912; steps/sec: 3.96;
FastEstimator-Train: step: 5000; total_loss: 0.71794194; steps/sec: 3.92;
FastEstimator-Train: step: 5100; total_loss: 0.7074687; steps/sec: 3.91;
FastEstimator-Train: step: 5200; total_loss: 0.6964652; steps/sec: 3.93;
FastEstimator-Train: step: 5300; total_loss: 0.6516662; steps/sec: 3.93;
FastEstimator-Train: step: 5400; total_loss: 0.6627413; steps/sec: 3.9;
FastEstimator-Train: step: 5500; total_loss: 0.81093967; steps/sec: 3.95;
FastEstimator-Train: step: 5600; total_loss: 0.53451645; steps/sec: 3.92;
FastEstimator-Train: step: 5700; total_loss: 0.6593945; steps/sec: 3.9;
FastEstimator-Train: step: 5800; total_loss: 0.662863; steps/sec: 3.93;
FastEstimator-Train: step: 5900; total_loss: 0.76118296; steps/sec: 3.94;
FastEstimator-Train: step: 6000; total_loss: 0.5874905; steps/sec: 3.92;
FastEstimator-Train: step: 6000; epoch: 4; epoch_time: 382.93 sec;
FastEstimator-Eval: step: 6000; epoch: 4; total_loss: 0.69145095; mAP: 0.09217479548268885; AP50: 0.17438893829767846; AP75: 0.08825085843281123;
FastEstimator-Train: step: 6100; total_loss: 0.62644136; steps/sec: 3.83;
FastEstimator-Train: step: 6200; total_loss: 0.6508013; steps/sec: 3.94;
FastEstimator-Train: step: 6300; total_loss: 0.5805605; steps/sec: 3.94;
FastEstimator-Train: step: 6400; total_loss: 0.58381575; steps/sec: 3.93;
FastEstimator-Train: step: 6500; total_loss: 0.6878396; steps/sec: 3.92;
FastEstimator-Train: step: 6600; total_loss: 0.6686121; steps/sec: 3.95;
FastEstimator-Train: step: 6700; total_loss: 0.6760998; steps/sec: 3.96;
FastEstimator-Train: step: 6800; total_loss: 0.6787034; steps/sec: 3.93;
FastEstimator-Train: step: 6900; total_loss: 0.6251623; steps/sec: 3.93;
FastEstimator-Train: step: 7000; total_loss: 0.60151005; steps/sec: 3.96;
FastEstimator-Train: step: 7100; total_loss: 0.6204429; steps/sec: 3.95;
FastEstimator-Train: step: 7200; total_loss: 0.6009525; steps/sec: 3.94;
FastEstimator-Train: step: 7300; total_loss: 0.70052636; steps/sec: 3.92;
FastEstimator-Train: step: 7400; total_loss: 0.67449474; steps/sec: 3.93;
FastEstimator-Train: step: 7500; total_loss: 0.66965675; steps/sec: 3.93;
FastEstimator-Train: step: 7500; epoch: 5; epoch_time: 381.69 sec;
FastEstimator-Eval: step: 7500; epoch: 5; total_loss: 0.7019003; mAP: 0.09310717219975295; AP50: 0.17444747834648586; AP75: 0.09099802359791574;
FastEstimator-Train: step: 7600; total_loss: 0.65294886; steps/sec: 3.84;
FastEstimator-Train: step: 7700; total_loss: 0.6732018; steps/sec: 3.92;
FastEstimator-Train: step: 7800; total_loss: 0.6796235; steps/sec: 3.93;
FastEstimator-Train: step: 7900; total_loss: 0.6322974; steps/sec: 3.93;
FastEstimator-Train: step: 8000; total_loss: 0.6590004; steps/sec: 3.92;
FastEstimator-Train: step: 8100; total_loss: 0.7336463; steps/sec: 3.92;
FastEstimator-Train: step: 8200; total_loss: 0.64066803; steps/sec: 3.93;
FastEstimator-Train: step: 8300; total_loss: 0.6547091; steps/sec: 3.92;
FastEstimator-Train: step: 8400; total_loss: 0.6996813; steps/sec: 3.92;
FastEstimator-Train: step: 8500; total_loss: 0.68632394; steps/sec: 3.94;
FastEstimator-Train: step: 8600; total_loss: 0.6997717; steps/sec: 3.93;
FastEstimator-Train: step: 8700; total_loss: 0.6471185; steps/sec: 3.94;
FastEstimator-Train: step: 8800; total_loss: 0.65590525; steps/sec: 3.93;
FastEstimator-Train: step: 8900; total_loss: 0.5733111; steps/sec: 3.95;
FastEstimator-Train: step: 9000; total_loss: 0.6030135; steps/sec: 3.95;
FastEstimator-Train: step: 9000; epoch: 6; epoch_time: 382.29 sec;
FastEstimator-Eval: step: 9000; epoch: 6; total_loss: 0.66284937; mAP: 0.10655542738400894; AP50: 0.19626651005284168; AP75: 0.10137792990908331;
FastEstimator-Train: step: 9100; total_loss: 0.6071197; steps/sec: 3.81;
FastEstimator-Train: step: 9200; total_loss: 0.6010666; steps/sec: 3.92;
FastEstimator-Train: step: 9300; total_loss: 0.582677; steps/sec: 3.93;
FastEstimator-Train: step: 9400; total_loss: 0.6986984; steps/sec: 3.92;
FastEstimator-Train: step: 9500; total_loss: 0.58147466; steps/sec: 3.94;
FastEstimator-Train: step: 9600; total_loss: 0.57151616; steps/sec: 3.94;
FastEstimator-Train: step: 9700; total_loss: 0.6436722; steps/sec: 3.93;
FastEstimator-Train: step: 9800; total_loss: 0.6302426; steps/sec: 3.94;
FastEstimator-Train: step: 9900; total_loss: 0.60831326; steps/sec: 3.92;
FastEstimator-Train: step: 10000; total_loss: 0.601596; steps/sec: 3.92;
FastEstimator-Train: step: 10100; total_loss: 0.58269656; steps/sec: 3.93;
FastEstimator-Train: step: 10200; total_loss: 0.62700397; steps/sec: 3.94;
FastEstimator-Train: step: 10300; total_loss: 0.6634823; steps/sec: 3.93;
FastEstimator-Train: step: 10400; total_loss: 0.6007832; steps/sec: 3.95;
FastEstimator-Train: step: 10500; total_loss: 0.5659912; steps/sec: 3.94;
FastEstimator-Train: step: 10500; epoch: 7; epoch_time: 382.17 sec;
FastEstimator-Eval: step: 10500; epoch: 7; total_loss: 0.64520735; mAP: 0.11419871915010521; AP50: 0.2092262242782653; AP75: 0.11156698575656657;
FastEstimator-Train: step: 10600; total_loss: 0.54869473; steps/sec: 3.82;
FastEstimator-Train: step: 10700; total_loss: 0.5258172; steps/sec: 3.95;
FastEstimator-Train: step: 10800; total_loss: 0.5787279; steps/sec: 3.95;
FastEstimator-Train: step: 10900; total_loss: 0.66220546; steps/sec: 3.96;
FastEstimator-Train: step: 11000; total_loss: 0.5279597; steps/sec: 3.94;
FastEstimator-Train: step: 11100; total_loss: 0.5671479; steps/sec: 3.95;
FastEstimator-Train: step: 11200; total_loss: 0.53384364; steps/sec: 3.94;
FastEstimator-Train: step: 11300; total_loss: 0.602044; steps/sec: 3.94;
FastEstimator-Train: step: 11400; total_loss: 0.5913441; steps/sec: 3.91;
FastEstimator-Train: step: 11500; total_loss: 0.48422766; steps/sec: 3.93;
FastEstimator-Train: step: 11600; total_loss: 0.55179214; steps/sec: 3.92;
FastEstimator-Train: step: 11700; total_loss: 0.55616707; steps/sec: 3.92;
FastEstimator-Train: step: 11800; total_loss: 0.62308383; steps/sec: 3.94;
FastEstimator-Train: step: 11900; total_loss: 0.5059687; steps/sec: 3.94;
FastEstimator-Train: step: 12000; total_loss: 0.6460779; steps/sec: 3.91;
FastEstimator-Train: step: 12000; epoch: 8; epoch_time: 381.78 sec;
