FastEstimator-Start: step: 1; num_device: 1; logging_interval: 100;
FastEstimator-Train: step: 1; total_loss: 1.9799596;
FastEstimator-Train: step: 100; total_loss: 1.5688772; steps/sec: 4.17;
FastEstimator-Train: step: 200; total_loss: 1.5454869; steps/sec: 4.12;
FastEstimator-Train: step: 300; total_loss: 1.3582909; steps/sec: 4.13;
FastEstimator-Train: step: 400; total_loss: 1.3770666; steps/sec: 4.12;
FastEstimator-Train: step: 500; total_loss: 1.0573038; steps/sec: 4.12;
FastEstimator-Train: step: 600; total_loss: 1.1597834; steps/sec: 4.11;
FastEstimator-Train: step: 700; total_loss: 1.1243496; steps/sec: 4.11;
FastEstimator-Train: step: 800; total_loss: 1.0878725; steps/sec: 4.1;
FastEstimator-Train: step: 900; total_loss: 1.2273605; steps/sec: 4.12;
FastEstimator-Train: step: 1000; total_loss: 0.9924917; steps/sec: 4.09;
FastEstimator-Train: step: 1100; total_loss: 1.0509953; steps/sec: 4.11;
FastEstimator-Train: step: 1200; total_loss: 1.1514063; steps/sec: 4.1;
FastEstimator-Train: step: 1300; total_loss: 0.90443647; steps/sec: 4.11;
FastEstimator-Train: step: 1400; total_loss: 0.981186; steps/sec: 4.11;
FastEstimator-Train: step: 1500; total_loss: 1.0542792; steps/sec: 4.11;
FastEstimator-Train: step: 1500; epoch: 1; epoch_time: 382.43 sec;
FastEstimator-Eval: step: 1500; epoch: 1; total_loss: 1.0071701; mAP: 0.011625296367598017; AP50: 0.025634228509239982; AP75: 0.009006727034658801;
FastEstimator-Train: step: 1600; total_loss: 0.88441926; steps/sec: 3.97;
FastEstimator-Train: step: 1700; total_loss: 0.94379914; steps/sec: 4.11;
FastEstimator-Train: step: 1800; total_loss: 0.94751745; steps/sec: 4.11;
FastEstimator-Train: step: 1900; total_loss: 1.0178721; steps/sec: 4.11;
FastEstimator-Train: step: 2000; total_loss: 0.96197665; steps/sec: 4.11;
FastEstimator-Train: step: 2100; total_loss: 0.8243214; steps/sec: 4.1;
FastEstimator-Train: step: 2200; total_loss: 0.8360015; steps/sec: 4.11;
